name,state,linkedin_industry,website_url
Paedi Protect,Hessen,Life Science & Healthcare,https://paediprotect.de/
Momunity,Berlin,IT and Communications,https://www.momunity.com/
riolocal,Berlin,Nutrition & Consumables,https://www.riolocal.shop/
OMG MEDIA,Berlin,IT and Communications,http://www.omgready.com
MIA map intelligence agency,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://mapintelligence.agency/
APPsolute Mobility,Bayern,IT and Communications,http://www.appsolute-mobility.com/
ShareSpace,Schleswig-Holstein,IT and Communications,https://thesharespace.de/
Cyberian Mine,Berlin,Finance & Insurance,https://cyberianmine.de
sustainabill,Nordrhein-Westfalen,IT and Communications,https://sustainabill.de/
RELOAD Motors,Berlin,"Automotive, Logistics & Mobility",http://reloadmotors.com/
dstack,Bayern,IT and Communications,https://dstack.ai/
Innential,Baden-Württemberg,Human Resources,https://innential.com/
MoTo Systems,Bayern,IT and Communications,https://moto-systems.de/index.html
Cuculus,Thüringen,IT and Communications,https://www.cuculus.net/en/
snapADDY,Bayern,IT and Communications,https://www.snapaddy.com/
carefuel,Hessen,Nutrition & Consumables,https://care-fuel.com/
perto,Berlin,Construction/Real Estate,http://www.perto.de
Workwise,Baden-Württemberg,Human Resources,https://hire.workwise.io/
LoyJoy,Nordrhein-Westfalen,IT and Communications,https://www.loyjoy.com/
Apptec24,Hessen,IT and Communications,http://www.apptec24.com
Adrenomed,Brandenburg,Chemicals/Pharmaceuticals,http://www.adrenomed.com
Hygienic Standard,Saarland,Life Science & Healthcare,https://www.hygienic-standard.de/
ImmoScout24,Berlin,Construction/Real Estate,https://www.immobilienscout24.de/
doorlin,Nordrhein-Westfalen,IT and Communications,http://www.doorlin.com
Additive Works,Bremen,Industrial & Basic Materials,https://additive.works/
supernutural,Bayern,Nutrition & Consumables,http://heyqnut.com/
FYTA,Berlin,"Media, Arts & Entertainment",http://fyta.de/
Silicon Allee,Berlin,IT and Communications,https://news.siliconallee.com/
Passbase,Berlin,IT and Communications,http://passbase.com
sofatutor,Berlin,Education,https://www.sofatutor.com/
nexxter,Bayern,Sports & Amusement/Gaming incl. Online,http://www.nexxter.com/
Meetlist,Bayern,IT and Communications,https://meetlist.app/
Con Cubo,Schleswig-Holstein,IT and Communications,https://www.con-cubo.com/
FYLTURA,Sachsen,Human Resources,https://www.fyltura.de
conizi,Bayern,"Automotive, Logistics & Mobility",https://www.conizi.com/
Riitail,Nordrhein-Westfalen,IT and Communications,https://riitail.com/
CAPinside,Hamburg,Finance & Insurance,https://capinside.com
PerformaNat,Berlin,Agriculture & Forestry,http://performanat.de/de/
AETTA,Nordrhein-Westfalen,Other,https://aetta.de/
arfinity,Bayern,IT and Communications,https://arlife.io/en/index.html
Cell Garden,Baden-Württemberg,Nutrition & Consumables,http://www.cellgarden.com
yedi,Niedersachsen,IT and Communications,http://www.yedi.de
BeanAir,Berlin,Industrial & Basic Materials,http://www.beanair.com/
